Método,Acurácia,Precisão,Recall,F1-Score,N° Outliers Detectados,N° Outliers Reais,Taxa Falsos Positivos,Taxa Falsos Negativos
z_score,0.9980952380952381,0.98,0.98,0.98,50,50,0.001,0.02
iqr,0.9923809523809524,0.8620689655172413,1.0,0.9259259259259259,58,50,0.008,0.0
isolation_forest,0.9476190476190476,0.47619047619047616,1.0,0.6451612903225806,105,50,0.055,0.0
lof,0.8523809523809524,0.0,0.0,0.0,105,50,0.105,1.0
dbscan,0.9514285714285714,0.0,0.0,0.0,1,50,0.001,1.0
one_class_svm,0.9323809523809524,0.4,0.84,0.5419354838709678,105,50,0.063,0.16
elliptic_envelope,0.9476190476190476,0.47619047619047616,1.0,0.6451612903225806,105,50,0.055,0.0
