,z_score,iqr,isolation_forest,lof,dbscan,one_class_svm,elliptic_envelope
z_score,1.0,0.9923809523809524,0.9476190476190476,0.8542857142857143,0.9533333333333334,0.9323809523809524,0.9476190476190476
iqr,0.9923809523809524,1.0,0.9552380952380952,0.86,0.9457142857142857,0.94,0.9552380952380952
isolation_forest,0.9476190476190476,0.9552380952380952,1.0,0.8457142857142858,0.900952380952381,0.9447619047619048,0.9561904761904761
lof,0.8542857142857143,0.86,0.8457142857142858,1.0,0.900952380952381,0.8990476190476191,0.8857142857142857
dbscan,0.9533333333333334,0.9457142857142857,0.900952380952381,0.900952380952381,1.0,0.900952380952381,0.900952380952381
one_class_svm,0.9323809523809524,0.94,0.9447619047619048,0.8990476190476191,0.900952380952381,1.0,0.9638095238095238
elliptic_envelope,0.9476190476190476,0.9552380952380952,0.9561904761904761,0.8857142857142857,0.900952380952381,0.9638095238095238,1.0
