Modelo,Accuracy,Precision,Recall,F1-Score
Decision Tree,0.9111111111111111,0.9155354449472096,0.9111111111111111,0.9107142857142857
Random Forest,0.8888888888888888,0.8981481481481481,0.8888888888888888,0.8877665544332211
SVM,0.9333333333333333,0.9345238095238095,0.9333333333333333,0.9332591768631814
Naive Bayes,0.9111111111111111,0.9155354449472096,0.9111111111111111,0.9107142857142857
K-NN,0.9111111111111111,0.9298245614035088,0.9111111111111111,0.9095022624434389
Logistic Regression,0.9111111111111111,0.9155354449472096,0.9111111111111111,0.9107142857142857
