Modelo,Accuracy,Precision,Recall,F1-Score
Decision Tree,0.8956666666666667,0.8907175773535221,0.902,0.8963232858562438
Random Forest,0.9186666666666666,0.9220430107526881,0.9146666666666666,0.9183400267737617
SVM,0.928,0.9331983805668016,0.922,0.9275653923541247
Naive Bayes,0.9266666666666666,0.9244031830238727,0.9293333333333333,0.9268617021276596
K-NN,0.9203333333333333,0.9211756847027388,0.9193333333333333,0.9202535869202536
Logistic Regression,0.926,0.9203947368421053,0.9326666666666666,0.9264900662251656
