Método,Accuracy,Precision,Recall,F1-Score,Outliers Detectados,Outliers Reais
Isolation Forest,0.4526061581807205,0.41413488472312004,0.41395649364634934,0.4140456699698406,4641,4643
LOF,0.4950694304689072,0.4596166271807021,0.4596166271807021,0.4596166271807021,4643,4643
One-Class SVM,0.4698128396055544,0.43254310344827585,0.43226362265776436,0.4324033178929225,4640,4643
Elliptic Envelope,0.5313946468102234,0.4984933275936289,0.49881542106396726,0.4986543223167187,4646,4643
DBSCAN,0.4928557053733145,0.4672496287741297,0.609950463062675,0.5291479820627802,6061,4643
